[Name]
Series 1 at /PLANE:leading edge

[Data]
Z [ m ],uta variable [ m^3 s^-1 K ]
2.42834203e-02, 1.66122572e-05
2.37533525e-02, 2.24344240e-05
2.31172685e-02, 2.81306184e-05
2.23539714e-02, 3.45416629e-05
2.14380119e-02, 4.17220981e-05
2.50932500e-02, 9.53212202e-06
2.53999997e-02, 2.57987904e-06
2.47251447e-02, 1.64571957e-05
2.42834203e-02, 2.38547018e-05
2.37533525e-02, 3.16588557e-05
2.31172685e-02, 3.93553382e-05
2.23539714e-02, 4.80675080e-05
2.14380119e-02, 5.78720574e-05
2.50932481e-02, 1.48112367e-05
2.53999997e-02, 4.26827910e-06
2.47251447e-02, 2.42626611e-05
2.42834203e-02, 3.40552469e-05
2.37533525e-02, 4.45041915e-05
2.31172685e-02, 5.49297074e-05
2.23539714e-02, 6.68496723e-05
2.14380119e-02, 8.03318108e-05
2.50932481e-02, 2.10887974e-05
2.53999997e-02, 6.57662258e-06
2.47251447e-02, 3.25447836e-05
2.42834203e-02, 4.42867640e-05
2.37533525e-02, 5.72411045e-05
2.31172685e-02, 7.03924889e-05
2.23539714e-02, 8.55698090e-05
2.14380119e-02, 1.02800470e-04
2.50932481e-02, 2.44939711e-05
2.53999997e-02, 8.35201445e-06
2.47251447e-02, 3.58539291e-05
2.42834203e-02, 4.78618604e-05
2.37533525e-02, 6.16502439e-05
2.31172685e-02, 7.57757589e-05
2.23539714e-02, 9.21013125e-05
2.14380119e-02, 1.10711742e-04
2.50932481e-02, 2.45851297e-05
2.53999997e-02, 8.99767747e-06
2.47251447e-02, 3.47719542e-05
2.42834203e-02, 4.61930540e-05
2.37533525e-02, 5.94377307e-05
2.31172685e-02, 7.29497915e-05
2.23539714e-02, 8.85228364e-05
2.14380119e-02, 1.06375832e-04
2.50932481e-02, 2.39047913e-05
2.53999997e-02, 9.18946444e-06
2.47251447e-02, 3.32607196e-05
2.42834203e-02, 4.41528755e-05
2.37533525e-02, 5.64524707e-05
2.31172685e-02, 6.89498993e-05
2.23539714e-02, 8.33617742e-05
2.14380119e-02, 1.00031190e-04
2.50932481e-02, 2.27916280e-05
2.53999997e-02, 9.03653108e-06
2.47251447e-02, 3.15492616e-05
2.42834203e-02, 4.15756513e-05
2.37533525e-02, 5.24514144e-05
2.31172685e-02, 6.36504992e-05
2.23539714e-02, 7.66465164e-05
2.14380119e-02, 9.18350634e-05
2.50932481e-02, 2.15084492e-05
2.53999997e-02, 8.66814389e-06
2.47251447e-02, 2.95740301e-05
2.42834203e-02, 3.82964972e-05
2.37533525e-02, 4.76072019e-05
2.31172685e-02, 5.74663645e-05
2.23539714e-02, 6.90040833e-05
2.14380119e-02, 8.26053365e-05
2.50932481e-02, 2.01611601e-05
2.53999997e-02, 8.19364777e-06
2.47251447e-02, 2.72409652e-05
2.42834203e-02, 3.45538465e-05
2.37533525e-02, 4.24366990e-05
2.31172685e-02, 5.10477512e-05
2.23539714e-02, 6.12002841e-05
2.14380119e-02, 7.32411063e-05
2.50932481e-02, 1.87166770e-05
2.53999997e-02, 7.72248313e-06
2.47251447e-02, 2.45755618e-05
2.42834203e-02, 3.06175098e-05
2.37533525e-02, 3.72791656e-05
2.31172685e-02, 4.47544553e-05
2.23539714e-02, 5.36195985e-05
2.14380119e-02, 6.41770966e-05
2.50932481e-02, 1.70832463e-05
2.53999997e-02, 7.22170853e-06
2.47251447e-02, 2.17740726e-05
2.42834203e-02, 2.67550149e-05
2.37533525e-02, 3.23849235e-05
2.31172685e-02, 3.88434892e-05
2.23539714e-02, 4.65341873e-05
2.14380119e-02, 5.57194544e-05
2.50932481e-02, 1.53163419e-05
2.53999997e-02, 6.64892787e-06
2.47251447e-02, 1.90485498e-05
2.42834203e-02, 2.31711456e-05
2.37533525e-02, 2.79347405e-05
2.31172685e-02, 3.34973774e-05
2.23539714e-02, 4.01428297e-05
2.14380119e-02, 4.80955132e-05
2.50932481e-02, 7.35372305e-06
2.53999997e-02, 3.26028976e-06
2.47251447e-02, 8.97904192e-06
2.42834203e-02, 1.08430704e-05
2.37533525e-02, 1.30372628e-05
2.31172685e-02, 1.56363985e-05
2.23539714e-02, 1.87491678e-05
2.14380119e-02, 2.24796186e-05
4.41949582e-04, 1.23425968e-06
8.10240919e-04, 1.02081015e-06
8.10240919e-04, 3.24508051e-07
4.41949582e-04, 3.93722047e-07
0.00000000e+00, 6.76261493e-07
0.00000000e+00, 2.16071754e-07
4.41949582e-04, 2.00328577e-06
8.10240919e-04, 1.65929248e-06
0.00000000e+00, 1.09699454e-06
4.41949582e-04, 3.12221982e-06
8.10240919e-04, 2.59086096e-06
0.00000000e+00, 1.70754220e-06
4.41949582e-04, 4.73391856e-06
8.10240919e-04, 3.92757011e-06
0.00000000e+00, 2.58943896e-06
4.41949582e-04, 7.03552769e-06
8.10240919e-04, 5.83434030e-06
0.00000000e+00, 3.84958776e-06
4.41949582e-04, 1.02692602e-05
8.10240919e-04, 8.51605455e-06
0.00000000e+00, 5.61734078e-06
4.41949582e-04, 1.47434821e-05
8.10240919e-04, 1.22100546e-05
0.00000000e+00, 8.07015749e-06
4.41949582e-04, 2.08533438e-05
8.10240919e-04, 1.72523323e-05
0.00000000e+00, 1.14177274e-05
4.41949582e-04, 2.91601627e-05
8.10240919e-04, 2.40808058e-05
0.00000000e+00, 1.59809715e-05
4.41949582e-04, 3.69212648e-05
8.10240919e-04, 3.04741898e-05
0.00000000e+00, 2.02357805e-05
4.41949582e-04, 3.86420506e-05
8.10240919e-04, 3.19075334e-05
0.00000000e+00, 2.11716197e-05
4.41949582e-04, 3.59326405e-05
8.10240919e-04, 2.96996714e-05
0.00000000e+00, 1.96755227e-05
4.41949582e-04, 3.29885916e-05
8.10240919e-04, 2.72960624e-05
0.00000000e+00, 1.80536081e-05
4.41949582e-04, 3.00520514e-05
8.10240919e-04, 2.48867163e-05
0.00000000e+00, 1.64415760e-05
4.41949582e-04, 2.72981724e-05
8.10240919e-04, 2.26189368e-05
0.00000000e+00, 1.49324860e-05
4.41949582e-04, 2.48040942e-05
8.10240919e-04, 2.05433716e-05
0.00000000e+00, 1.35757055e-05
4.41949582e-04, 2.25850727e-05
8.10240919e-04, 1.87136393e-05
0.00000000e+00, 1.23585478e-05
4.41949582e-04, 2.04271892e-05
8.10240919e-04, 1.69433151e-05
0.00000000e+00, 1.11725030e-05
4.41949582e-04, 1.82995573e-05
8.10240919e-04, 1.52007597e-05
0.00000000e+00, 1.00037505e-05
4.41949582e-04, 8.80226708e-06
8.10240919e-04, 7.32397666e-06
0.00000000e+00, 4.80315157e-06


