[Name]
Series 1 at /PLANE:leading edge

[Data]
Z [ m ],ua variable [ m^3 s^-1 ]
8.10240919e-04, 4.88570038e-08
0.00000000e+00, 3.21186526e-08
4.41949582e-04, 5.21153183e-08
8.10240919e-04, 4.33351701e-08
0.00000000e+00, 2.84657489e-08
4.41949582e-04, 2.49848036e-08
8.10240919e-04, 2.08014956e-08
0.00000000e+00, 1.36245717e-08


